"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"T3M",15,7,9,9,9,8.5,9.5,2,14,12,9,9,15,9,15,9,14,20,9,7,7,9,6.5,9,13,20,18,17,17,15,15,18,9,9,9,9,17,7,9,10,17,19,13,15,15,7,8,9,9,20,9,3,15,13,10,15,8.5,15,9,15,4,11,15,9,9.5,9,16,9,18,9,15,9,12,9,15,9.5,15,11,9,9,15,14,0,7,9,16,15,9,9,15,15,15,15,15,10,7,5,19,9,15,16,13,4,18,15,15,9,4,15,15,16,12,4,14,8,14,14,9.5,7,9,9,14,15,18,0,9,8,15,6,12,4,4,15,9,2,8.5
"T7P",8,0,2,2,2,1.5,2.5,9,7,5,2,2,8,2,8,2,7,13,2,0,0,2,0.5,2,6,13,11,10,10,8,8,11,2,2,2,2,10,0,2,3,10,12,6,8,8,0,1,2,2,13,2,4,8,6,3,8,1.5,8,2,8,3,4,8,2,2.5,2,9,2,11,2,8,2,5,2,8,2.5,8,4,2,2,8,7,7,0,2,9,8,2,2,8,8,8,8,8,3,0,2,12,2,8,9,6,3,11,8,8,2,3,8,8,9,5,3,7,1,7,7,2.5,0,2,2,7,8,11,7,2,1,8,1,5,3,3,8,2,5,1.5
"TE6",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"TXW",1,9,7,7,7,7.5,6.5,18,2,4,7,7,1,7,1,7,2,4,7,9,9,7,9.5,7,3,4,2,1,1,1,1,2,7,7,7,7,1,9,7,6,1,3,3,1,1,9,8,7,7,4,7,13,1,3,6,1,7.5,1,7,1,12,5,1,7,6.5,7,0,7,2,7,1,7,4,7,1,6.5,1,5,7,7,1,2,16,9,7,0,1,7,7,1,1,1,1,1,6,9,11,3,7,1,0,3,12,2,1,1,7,12,1,1,0,4,12,2,8,2,2,6.5,9,7,7,2,1,2,16,7,8,1,10,4,12,12,1,7,14,7.5
"UFK",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"UUP",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"V2Q",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"VEK",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"VZ8",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"W2P",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"W2Z",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"W7X",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"WBQ",5,3,1,1,1,1.5,0.5,12,4,2,1,1,5,1,5,1,4,10,1,3,3,1,3.5,1,3,10,8,7,7,5,5,8,1,1,1,1,7,3,1,0,7,9,3,5,5,3,2,1,1,10,1,7,5,3,0,5,1.5,5,1,5,6,1,5,1,0.5,1,6,1,8,1,5,1,2,1,5,0.5,5,1,1,1,5,4,10,3,1,6,5,1,1,5,5,5,5,5,0,3,5,9,1,5,6,3,6,8,5,5,1,6,5,5,6,2,6,4,2,4,4,0.5,3,1,1,4,5,8,10,1,2,5,4,2,6,6,5,1,8,1.5
"XU5",8,0,2,2,2,1.5,2.5,9,7,5,2,2,8,2,8,2,7,13,2,0,0,2,0.5,2,6,13,11,10,10,8,8,11,2,2,2,2,10,0,2,3,10,12,6,8,8,0,1,2,2,13,2,4,8,6,3,8,1.5,8,2,8,3,4,8,2,2.5,2,9,2,11,2,8,2,5,2,8,2.5,8,4,2,2,8,7,7,0,2,9,8,2,2,8,8,8,8,8,3,0,2,12,2,8,9,6,3,11,8,8,2,3,8,8,9,5,3,7,1,7,7,2.5,0,2,2,7,8,11,7,2,1,8,1,5,3,3,8,2,5,1.5
"XW7",10,2,4,4,4,3.5,4.5,7,9,7,4,4,10,4,10,4,9,15,4,2,2,4,1.5,4,8,15,13,12,12,10,10,13,4,4,4,4,12,2,4,5,12,14,8,10,10,2,3,4,4,15,4,2,10,8,5,10,3.5,10,4,10,1,6,10,4,4.5,4,11,4,13,4,10,4,7,4,10,4.5,10,6,4,4,10,9,5,2,4,11,10,4,4,10,10,10,10,10,5,2,0,14,4,10,11,8,1,13,10,10,4,1,10,10,11,7,1,9,3,9,9,4.5,2,4,4,9,10,13,5,4,3,10,1,7,1,1,10,4,3,3.5
"XXZ",4,12,10,10,10,10.5,9.5,21,5,7,10,10,4,10,4,10,5,1,10,12,12,10,12.5,10,6,1,1,2,2,4,4,1,10,10,10,10,2,12,10,9,2,0,6,4,4,12,11,10,10,1,10,16,4,6,9,4,10.5,4,10,4,15,8,4,10,9.5,10,3,10,1,10,4,10,7,10,4,9.5,4,8,10,10,4,5,19,12,10,3,4,10,10,4,4,4,4,4,9,12,14,0,10,4,3,6,15,1,4,4,10,15,4,4,3,7,15,5,11,5,5,9.5,12,10,10,5,4,1,19,10,11,4,13,7,15,15,4,10,17,10.5
"XY6",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"YC6",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"YDK",1,9,7,7,7,7.5,6.5,18,2,4,7,7,1,7,1,7,2,4,7,9,9,7,9.5,7,3,4,2,1,1,1,1,2,7,7,7,7,1,9,7,6,1,3,3,1,1,9,8,7,7,4,7,13,1,3,6,1,7.5,1,7,1,12,5,1,7,6.5,7,0,7,2,7,1,7,4,7,1,6.5,1,5,7,7,1,2,16,9,7,0,1,7,7,1,1,1,1,1,6,9,11,3,7,1,0,3,12,2,1,1,7,12,1,1,0,4,12,2,8,2,2,6.5,9,7,7,2,1,2,16,7,8,1,10,4,12,12,1,7,14,7.5
"YK2",2,6,4,4,4,4.5,3.5,15,1,1,4,4,2,4,2,4,1,7,4,6,6,4,6.5,4,0,7,5,4,4,2,2,5,4,4,4,4,4,6,4,3,4,6,0,2,2,6,5,4,4,7,4,10,2,0,3,2,4.5,2,4,2,9,2,2,4,3.5,4,3,4,5,4,2,4,1,4,2,3.5,2,2,4,4,2,1,13,6,4,3,2,4,4,2,2,2,2,2,3,6,8,6,4,2,3,0,9,5,2,2,4,9,2,2,3,1,9,1,5,1,1,3.5,6,4,4,1,2,5,13,4,5,2,7,1,9,9,2,4,11,4.5
"YMD",11,3,5,5,5,4.5,5.5,6,10,8,5,5,11,5,11,5,10,16,5,3,3,5,2.5,5,9,16,14,13,13,11,11,14,5,5,5,5,13,3,5,6,13,15,9,11,11,3,4,5,5,16,5,1,11,9,6,11,4.5,11,5,11,0,7,11,5,5.5,5,12,5,14,5,11,5,8,5,11,5.5,11,7,5,5,11,10,4,3,5,12,11,5,5,11,11,11,11,11,6,3,1,15,5,11,12,9,0,14,11,11,5,0,11,11,12,8,0,10,4,10,10,5.5,3,5,5,10,11,14,4,5,4,11,2,8,0,0,11,5,2,4.5
"YUT",3,11,9,9,9,9.5,8.5,20,4,6,9,9,3,9,3,9,4,2,9,11,11,9,11.5,9,5,2,0,1,1,3,3,0,9,9,9,9,1,11,9,8,1,1,5,3,3,11,10,9,9,2,9,15,3,5,8,3,9.5,3,9,3,14,7,3,9,8.5,9,2,9,0,9,3,9,6,9,3,8.5,3,7,9,9,3,4,18,11,9,2,3,9,9,3,3,3,3,3,8,11,13,1,9,3,2,5,14,0,3,3,9,14,3,3,2,6,14,4,10,4,4,8.5,11,9,9,4,3,0,18,9,10,3,12,6,14,14,3,9,16,9.5
"ZBB",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"ZGZ",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"ZMM",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"ZT0",11,3,5,5,5,4.5,5.5,6,10,8,5,5,11,5,11,5,10,16,5,3,3,5,2.5,5,9,16,14,13,13,11,11,14,5,5,5,5,13,3,5,6,13,15,9,11,11,3,4,5,5,16,5,1,11,9,6,11,4.5,11,5,11,0,7,11,5,5.5,5,12,5,14,5,11,5,8,5,11,5.5,11,7,5,5,11,10,4,3,5,12,11,5,5,11,11,11,11,11,6,3,1,15,5,11,12,9,0,14,11,11,5,0,11,11,12,8,0,10,4,10,10,5.5,3,5,5,10,11,14,4,5,4,11,2,8,0,0,11,5,2,4.5
"ZZJ",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"Q1C",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"SBR",1,9,7,7,7,7.5,6.5,18,2,4,7,7,1,7,1,7,2,4,7,9,9,7,9.5,7,3,4,2,1,1,1,1,2,7,7,7,7,1,9,7,6,1,3,3,1,1,9,8,7,7,4,7,13,1,3,6,1,7.5,1,7,1,12,5,1,7,6.5,7,0,7,2,7,1,7,4,7,1,6.5,1,5,7,7,1,2,16,9,7,0,1,7,7,1,1,1,1,1,6,9,11,3,7,1,0,3,12,2,1,1,7,12,1,1,0,4,12,2,8,2,2,6.5,9,7,7,2,1,2,16,7,8,1,10,4,12,12,1,7,14,7.5
"B3Q",3,5,3,3,3,3.5,2.5,14,2,0,3,3,3,3,3,3,2,8,3,5,5,3,5.5,3,1,8,6,5,5,3,3,6,3,3,3,3,5,5,3,2,5,7,1,3,3,5,4,3,3,8,3,9,3,1,2,3,3.5,3,3,3,8,1,3,3,2.5,3,4,3,6,3,3,3,0,3,3,2.5,3,1,3,3,3,2,12,5,3,4,3,3,3,3,3,3,3,3,2,5,7,7,3,3,4,1,8,6,3,3,3,8,3,3,4,0,8,2,4,2,2,2.5,5,3,3,2,3,6,12,3,4,3,6,0,8,8,3,3,10,3.5
"M05",11,3,5,5,5,4.5,5.5,6,10,8,5,5,11,5,11,5,10,16,5,3,3,5,2.5,5,9,16,14,13,13,11,11,14,5,5,5,5,13,3,5,6,13,15,9,11,11,3,4,5,5,16,5,1,11,9,6,11,4.5,11,5,11,0,7,11,5,5.5,5,12,5,14,5,11,5,8,5,11,5.5,11,7,5,5,11,10,4,3,5,12,11,5,5,11,11,11,11,11,6,3,1,15,5,11,12,9,0,14,11,11,5,0,11,11,12,8,0,10,4,10,10,5.5,3,5,5,10,11,14,4,5,4,11,2,8,0,0,11,5,2,4.5
"EF6",1,7,5,5,5,5.5,4.5,16,0,2,5,5,1,5,1,5,0,6,5,7,7,5,7.5,5,1,6,4,3,3,1,1,4,5,5,5,5,3,7,5,4,3,5,1,1,1,7,6,5,5,6,5,11,1,1,4,1,5.5,1,5,1,10,3,1,5,4.5,5,2,5,4,5,1,5,2,5,1,4.5,1,3,5,5,1,0,14,7,5,2,1,5,5,1,1,1,1,1,4,7,9,5,5,1,2,1,10,4,1,1,5,10,1,1,2,2,10,0,6,0,0,4.5,7,5,5,0,1,4,14,5,6,1,8,2,10,10,1,5,12,5.5
"DAQ",7,1,1,1,1,0.5,1.5,10,6,4,1,1,7,1,7,1,6,12,1,1,1,1,1.5,1,5,12,10,9,9,7,7,10,1,1,1,1,9,1,1,2,9,11,5,7,7,1,0,1,1,12,1,5,7,5,2,7,0.5,7,1,7,4,3,7,1,1.5,1,8,1,10,1,7,1,4,1,7,1.5,7,3,1,1,7,6,8,1,1,8,7,1,1,7,7,7,7,7,2,1,3,11,1,7,8,5,4,10,7,7,1,4,7,7,8,4,4,6,0,6,6,1.5,1,1,1,6,7,10,8,1,0,7,2,4,4,4,7,1,6,0.5
"A05",1,7,5,5,5,5.5,4.5,16,0,2,5,5,1,5,1,5,0,6,5,7,7,5,7.5,5,1,6,4,3,3,1,1,4,5,5,5,5,3,7,5,4,3,5,1,1,1,7,6,5,5,6,5,11,1,1,4,1,5.5,1,5,1,10,3,1,5,4.5,5,2,5,4,5,1,5,2,5,1,4.5,1,3,5,5,1,0,14,7,5,2,1,5,5,1,1,1,1,1,4,7,9,5,5,1,2,1,10,4,1,1,5,10,1,1,2,2,10,0,6,0,0,4.5,7,5,5,0,1,4,14,5,6,1,8,2,10,10,1,5,12,5.5
"BGQ",1,7,5,5,5,5.5,4.5,16,0,2,5,5,1,5,1,5,0,6,5,7,7,5,7.5,5,1,6,4,3,3,1,1,4,5,5,5,5,3,7,5,4,3,5,1,1,1,7,6,5,5,6,5,11,1,1,4,1,5.5,1,5,1,10,3,1,5,4.5,5,2,5,4,5,1,5,2,5,1,4.5,1,3,5,5,1,0,14,7,5,2,1,5,5,1,1,1,1,1,4,7,9,5,5,1,2,1,10,4,1,1,5,10,1,1,2,2,10,0,6,0,0,4.5,7,5,5,0,1,4,14,5,6,1,8,2,10,10,1,5,12,5.5
"VDE",5.5,2.5,0.5,0.5,0.5,1,0,11.5,4.5,2.5,0.5,0.5,5.5,0.5,5.5,0.5,4.5,10.5,0.5,2.5,2.5,0.5,3,0.5,3.5,10.5,8.5,7.5,7.5,5.5,5.5,8.5,0.5,0.5,0.5,0.5,7.5,2.5,0.5,0.5,7.5,9.5,3.5,5.5,5.5,2.5,1.5,0.5,0.5,10.5,0.5,6.5,5.5,3.5,0.5,5.5,1,5.5,0.5,5.5,5.5,1.5,5.5,0.5,0,0.5,6.5,0.5,8.5,0.5,5.5,0.5,2.5,0.5,5.5,0,5.5,1.5,0.5,0.5,5.5,4.5,9.5,2.5,0.5,6.5,5.5,0.5,0.5,5.5,5.5,5.5,5.5,5.5,0.5,2.5,4.5,9.5,0.5,5.5,6.5,3.5,5.5,8.5,5.5,5.5,0.5,5.5,5.5,5.5,6.5,2.5,5.5,4.5,1.5,4.5,4.5,0,2.5,0.5,0.5,4.5,5.5,8.5,9.5,0.5,1.5,5.5,3.5,2.5,5.5,5.5,5.5,0.5,7.5,1
"NAM",8,0,2,2,2,1.5,2.5,9,7,5,2,2,8,2,8,2,7,13,2,0,0,2,0.5,2,6,13,11,10,10,8,8,11,2,2,2,2,10,0,2,3,10,12,6,8,8,0,1,2,2,13,2,4,8,6,3,8,1.5,8,2,8,3,4,8,2,2.5,2,9,2,11,2,8,2,5,2,8,2.5,8,4,2,2,8,7,7,0,2,9,8,2,2,8,8,8,8,8,3,0,2,12,2,8,9,6,3,11,8,8,2,3,8,8,9,5,3,7,1,7,7,2.5,0,2,2,7,8,11,7,2,1,8,1,5,3,3,8,2,5,1.5
"HU4",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"D76",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"A87",1,7,5,5,5,5.5,4.5,16,0,2,5,5,1,5,1,5,0,6,5,7,7,5,7.5,5,1,6,4,3,3,1,1,4,5,5,5,5,3,7,5,4,3,5,1,1,1,7,6,5,5,6,5,11,1,1,4,1,5.5,1,5,1,10,3,1,5,4.5,5,2,5,4,5,1,5,2,5,1,4.5,1,3,5,5,1,0,14,7,5,2,1,5,5,1,1,1,1,1,4,7,9,5,5,1,2,1,10,4,1,1,5,10,1,1,2,2,10,0,6,0,0,4.5,7,5,5,0,1,4,14,5,6,1,8,2,10,10,1,5,12,5.5
"R13",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"G3R",3,11,9,9,9,9.5,8.5,20,4,6,9,9,3,9,3,9,4,2,9,11,11,9,11.5,9,5,2,0,1,1,3,3,0,9,9,9,9,1,11,9,8,1,1,5,3,3,11,10,9,9,2,9,15,3,5,8,3,9.5,3,9,3,14,7,3,9,8.5,9,2,9,0,9,3,9,6,9,3,8.5,3,7,9,9,3,4,18,11,9,2,3,9,9,3,3,3,3,3,8,11,13,1,9,3,2,5,14,0,3,3,9,14,3,3,2,6,14,4,10,4,4,8.5,11,9,9,4,3,0,18,9,10,3,12,6,14,14,3,9,16,9.5
"CTJ",15,7,9,9,9,8.5,9.5,2,14,12,9,9,15,9,15,9,14,20,9,7,7,9,6.5,9,13,20,18,17,17,15,15,18,9,9,9,9,17,7,9,10,17,19,13,15,15,7,8,9,9,20,9,3,15,13,10,15,8.5,15,9,15,4,11,15,9,9.5,9,16,9,18,9,15,9,12,9,15,9.5,15,11,9,9,15,14,0,7,9,16,15,9,9,15,15,15,15,15,10,7,5,19,9,15,16,13,4,18,15,15,9,4,15,15,16,12,4,14,8,14,14,9.5,7,9,9,14,15,18,0,9,8,15,6,12,4,4,15,9,2,8.5
"R3M",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"U4B",7,1,1,1,1,0.5,1.5,10,6,4,1,1,7,1,7,1,6,12,1,1,1,1,1.5,1,5,12,10,9,9,7,7,10,1,1,1,1,9,1,1,2,9,11,5,7,7,1,0,1,1,12,1,5,7,5,2,7,0.5,7,1,7,4,3,7,1,1.5,1,8,1,10,1,7,1,4,1,7,1.5,7,3,1,1,7,6,8,1,1,8,7,1,1,7,7,7,7,7,2,1,3,11,1,7,8,5,4,10,7,7,1,4,7,7,8,4,4,6,0,6,6,1.5,1,1,1,6,7,10,8,1,0,7,2,4,4,4,7,1,6,0.5
